Name of Project,Funding Partner,Implementing Partner Name ,Currency,Total Value of Project ,Year Started,Year Ending (Estimate),Did Partner specify districts?,Maputo City,Maputo Province,Gaza,Inhambane,Manica,Sofala,Tete,Zambezia,Cabo Delgado,Nampula,Niassa,Notes,URL,Contact,Last Modified
Construção e Equipamento dos Hospitais Distritais de Macanhelas e Ngauma (Niassa),Arab Bank for Economic Development in Africa,Arab Bank for Economic Development in Africa,USD,20000000,2024,2028,Yes,,,,,,,,,,,"Mecanhelas,N'gauma",,,dzaqueu@hotmail.com,5/27/2024 5:08pm
Fundação Manhiça,Bill and Melinda Gates Foundation,Fundação Manhiça,USD,6999728,2024,2027,Yes,,Manhiça,,,,,,,,,,,https://www.gatesfoundation.org/about/committed-grants/2024/03/inv-067310,AnaLeticia.Nery@gatesfoundation.org,5/22/2024 8:57am
Instituto Nacional de Saúde,Bill and Melinda Gates Foundation,"Instituto Nacional de Saúde
",USD,889794,2023,2026,Yes,,Marracuene,,,,,,,,,,,https://www.gatesfoundation.org/about/committed-grants/2023/11/inv-063730,AnaLeticia.Nery@gatesfoundation.org,5/27/2024 5:08pm
Polio,Bill and Melinda Gates Foundation,WHO,USD,1400000,2023,2025,No,,,,,,,,,,,,,,erbf@who.int,5/27/2024 5:08pm
Strengthening malaria data and digital health systems,Bill and Melinda Gates Foundation,CHAI,USD,8544257,2022,2024,No,,,,,,,,,,,,,https://www.gatesfoundation.org/about/committed-grants/2022/11/inv-043613,AnaLeticia.Nery@gatesfoundation.org,5/27/2024 5:08pm
Strengthening Emergency Operations Centre Mozambique,Bill and Melinda Gates Foundation,The Global Fund,USD,1000000,2024,2026,No,,,,,,,,,,,,To support the multihazard public health strategy for the Republic of Mozambique.,https://www.gatesfoundation.org/about/committed-grants/2024/03/inv-069723,AnaLeticia.Nery@gatesfoundation.org,5/27/2024 5:08pm
Impacto II: Apoio aos Serviços de Planeamento Familiar em Moçambique,Canada,Pathfinder International,CAD,20000000,2024,2029,Yes,,,,,"Chimoio,Gondola,Manica,Macate,Vanduzi,Sussundenga",,"Tete,Doa,Moatize,Mutarara,Angonia",,,,,,,Emelina.Murrure@international.gc.ca,5/22/2024 11:22am
"VINA - Vitamin A for a New Age
",Canada,UNICEF,CAD,2400000,2023,2025,Yes,,,,,,"Beira,Nhamatanda",,"Alto Molocue,Chinde,Gurué,Luabo,Lugela,Maganja da Costa,Morrumbala,Nicoadala,Molumbo","Ancuabe,Balama,Macomia,Mocimboa da Praia,Mueda,Nangade,Palma,Quissanga,Montepuez","Eráti,Ilha de Moçambique,Lalaua,Liupo,Malema,Muecate,Nacala-Porto,Ribáue,Monapo",,,https://w05.international.gc.ca/projectbrowser-banqueprojets/project-projet/details/p011992001,trish.chang@international.gc.ca,11/26/2024 9:24am
PROSA/ INCRONICA (Improving Data for Better Health Systems),Canada,WHO,CAD,7000000,2024,2028,No,,,,,,,,,,,,,,diana.benzane@international.gc.ca,5/21/2024 8:47pm
SPARC - Advancing SRHR in Cabo Delgado,Canada,Aga Khan Foundation,CAD,20000000,2018,2025,Yes,,,,,,,,,"Balama,Chiúre,Montepuez,Mueda,Muidumbe,Namuno,Nangade",,,,https://www.akfc.ca/our-work/strengthening-partnerships-advance-sexual-reproductive-health-rights-women-adolescents-cabo-delgado-mozambique-sparc/,Emelina.Murrure@international.gc.ca,5/22/2024 11:22am
Todas Avante (SRHR),Canada,Plan International Canada,CAD,19200000,2024,2030,Yes,,,,,,,,,,"Ilha de Moçambique,Mogovolas,Ribáue,Meconta",,,,diana.benzane@international.gc.ca,11/26/2024 9:23am
Sexual and Reproductive Health for Young Women in Inhambane,Canada,University of Saskatchewan,CAD,20000000,2024,2030,Yes,,,,"Homoine,Inharrime,Massinga,Morrumbene,Vilanculos,Zavala",,,,,,,,,,trish.chang@international.gc.ca,5/21/2024 8:47pm
CanGIVE,Canada,WHO,CAD,4340000,2023,2025,Yes,,"Boane,Magude,Manhiça,Marracuene,Matola,Matutuíne,Moamba,Namaacha","Bilene,Chibuto,Chicualacuala,Chigubo,Chokwe,Chonguene,Xai-Xai,Guijá,Limpopo,Mabalane,Mandlacaze,Mapai,Massangena,Massingir","Inhambane,Funhalouro,Homoine,Inharrime,Jangamo,Mabote,Massinga,Maxixe,Morrumbene,Panda,Vilanculos,Zavala",,,"Tete,Angonia,Cahora-Bassa,Changara,Chifunde,Chiuta,Doa,Macanga,Magoe,Marara,Marávia,Moatize,Mutarara,Tsangano,Zumbo",,,,"Lichinga,Cuamba,Lago,Chimbonila,Manjune,Mandimba,Marrupa,Maua,Mavago,Mecanhelas,Metarica,Muembe,N'gauma,Nipepe,Sanga",,https://www.international.gc.ca/world-monde/issues_development-enjeux_developpement/global_health-sante_mondiale/equite_vaccinale_covid-19_vaccine_equity.aspx?lang=eng,trish.chang@international.gc.ca,5/22/2024 8:46am
Accessing  the Full Range of SRHR Services,Canada,Ipas,CAD,20000000,2022,2027,Yes,Maputo City,,,,,,,"Luabo,Molumbo,Alto Molocue,Gilé",,"Mossuril,Ribáue,Nacala-Porto,Mogincual","Cuamba,Lago,Lichinga,Mandimba",,https://w05.international.gc.ca/projectbrowser-banqueprojets/project-projet/details/P007047001,Emelina.Murrure@international.gc.ca,11/26/2024 9:22am
EMPOWER - Mental Health,Canada,"Univeristy of Washington, Comité para Saúde de Moçambique",CAD,5000000,2023,2028,Yes,,,,,,,,,,,,,https://w05.international.gc.ca/projectbrowser-banqueprojets/project-projet/details/p007565001,diana.benzane@international.gc.ca,5/21/2024 8:47pm
