Name of Project,Funding Partner,Implementing Partner Name ,Currency,Total Value,Start Date,Estimated End Date,Did Partner specify districts?,Maputo City,Maputo Province,Gaza,Inhambane,Manica,Sofala,Tete,Zambezia,Cabo Delgado,Nampula,Niassa,Notes,URL,Contact,Last Modified,Total Value (USD),Unique Project Name
Construção e Equipamento dos Hospitais Distritais de Macanhelas e Ngauma (Niassa),Arab Bank for Economic Development in Africa,Arab Bank for Economic Development in Africa,USD,20000000,2024,2028,Yes,,,,,,,,,,,"Mecanhelas,N'gauma",,,dzaqueu@hotmail.com,5/27/2024 5:08pm,20000000.0,Construção e Equipamento dos Hospitais Distritais de Macanhelas e Ngauma (Niassa) -- Arab Bank for Economic Development in Africa
Fundação Manhiça,Bill and Melinda Gates Foundation,Fundação Manhiça,USD,6999728,2024,2027,Yes,,Manhiça,,,,,,,,,,,https://www.gatesfoundation.org/about/committed-grants/2024/03/inv-067310,AnaLeticia.Nery@gatesfoundation.org,5/22/2024 8:57am,6999728.0,Fundação Manhiça -- Fundação Manhiça
Instituto Nacional de Saúde,Bill and Melinda Gates Foundation,"Instituto Nacional de Saúde
",USD,889794,2023,2026,Yes,,Marracuene,,,,,,,,,,,https://www.gatesfoundation.org/about/committed-grants/2023/11/inv-063730,AnaLeticia.Nery@gatesfoundation.org,5/27/2024 5:08pm,889794.0,"Instituto Nacional de Saúde -- Instituto Nacional de Saúde
"
Polio,Bill and Melinda Gates Foundation,WHO,USD,1400000,2023,2025,No,,,,,,,,,,,,,,erbf@who.int,5/27/2024 5:08pm,1400000.0,Polio -- WHO
Strengthening malaria data and digital health systems,Bill and Melinda Gates Foundation,CHAI,USD,8544257,2022,2024,No,,,,,,,,,,,,,https://www.gatesfoundation.org/about/committed-grants/2022/11/inv-043613,AnaLeticia.Nery@gatesfoundation.org,5/27/2024 5:08pm,8544257.0,Strengthening malaria data and digital health systems -- CHAI
Strengthening Emergency Operations Centre Mozambique,Bill and Melinda Gates Foundation,The Global Fund,USD,1000000,2024,2026,No,,,,,,,,,,,,To support the multihazard public health strategy for the Republic of Mozambique.,https://www.gatesfoundation.org/about/committed-grants/2024/03/inv-069723,AnaLeticia.Nery@gatesfoundation.org,5/27/2024 5:08pm,1000000.0,Strengthening Emergency Operations Centre Mozambique -- The Global Fund
Impacto II: Apoio aos Serviços de Planeamento Familiar em Moçambique,Canada,Pathfinder International,CAD,20000000,2024,2029,Yes,,,,,"Chimoio,Gondola,Manica,Macate,Vanduzi,Sussundenga",,"Tete,Doa,Moatize,Mutarara,Angonia",,,,,,,Emelina.Murrure@international.gc.ca,5/22/2024 11:22am,14050000.0,Impacto II: Apoio aos Serviços de Planeamento Familiar em Moçambique -- Pathfinder International
"VINA - Vitamin A for a New Age
",Canada,UNICEF,CAD,2400000,2023,2025,Yes,,,,,,"Beira,Nhamatanda",,"Alto Molocue,Chinde,Gurué,Luabo,Lugela,Maganja da Costa,Morrumbala,Nicoadala,Molumbo","Ancuabe,Balama,Macomia,Mocimboa da Praia,Mueda,Nangade,Palma,Quissanga,Montepuez","Eráti,Ilha de Moçambique,Lalaua,Liupo,Malema,Muecate,Nacala-Porto,Ribáue,Monapo",,,https://w05.international.gc.ca/projectbrowser-banqueprojets/project-projet/details/p011992001,trish.chang@international.gc.ca,11/26/2024 9:24am,1686000.0,"VINA - Vitamin A for a New Age
 -- UNICEF"
PROSA/ INCRONICA (Improving Data for Better Health Systems),Canada,WHO,CAD,7000000,2024,2028,No,,,,,,,,,,,,,,diana.benzane@international.gc.ca,5/21/2024 8:47pm,4917500.0,PROSA/ INCRONICA (Improving Data for Better Health Systems) -- WHO
SPARC - Advancing SRHR in Cabo Delgado,Canada,Aga Khan Foundation,CAD,20000000,2018,2025,Yes,,,,,,,,,"Balama,Chiúre,Montepuez,Mueda,Muidumbe,Namuno,Nangade",,,,https://www.akfc.ca/our-work/strengthening-partnerships-advance-sexual-reproductive-health-rights-women-adolescents-cabo-delgado-mozambique-sparc/,Emelina.Murrure@international.gc.ca,5/22/2024 11:22am,14050000.0,SPARC - Advancing SRHR in Cabo Delgado -- Aga Khan Foundation
Todas Avante (SRHR),Canada,Plan International Canada,CAD,19200000,2024,2030,Yes,,,,,,,,,,"Ilha de Moçambique,Mogovolas,Ribáue,Meconta",,,,diana.benzane@international.gc.ca,11/26/2024 9:23am,13488000.0,Todas Avante (SRHR) -- Plan International Canada
Sexual and Reproductive Health for Young Women in Inhambane,Canada,University of Saskatchewan,CAD,20000000,2024,2030,Yes,,,,"Homoine,Inharrime,Massinga,Morrumbene,Vilanculos,Zavala",,,,,,,,,,trish.chang@international.gc.ca,5/21/2024 8:47pm,14050000.0,Sexual and Reproductive Health for Young Women in Inhambane -- University of Saskatchewan
CanGIVE,Canada,WHO,CAD,4340000,2023,2025,Yes,,"Boane,Magude,Manhiça,Marracuene,Matola,Matutuíne,Moamba,Namaacha","Bilene,Chibuto,Chicualacuala,Chigubo,Chokwe,Chonguene,Xai-Xai,Guijá,Limpopo,Mabalane,Mandlacaze,Mapai,Massangena,Massingir","Inhambane,Funhalouro,Homoine,Inharrime,Jangamo,Mabote,Massinga,Maxixe,Morrumbene,Panda,Vilanculos,Zavala",,,"Tete,Angonia,Cahora-Bassa,Changara,Chifunde,Chiuta,Doa,Macanga,Magoe,Marara,Marávia,Moatize,Mutarara,Tsangano,Zumbo",,,,"Lichinga,Cuamba,Lago,Chimbonila,Manjune,Mandimba,Marrupa,Maua,Mavago,Mecanhelas,Metarica,Muembe,N'gauma,Nipepe,Sanga",,https://www.international.gc.ca/world-monde/issues_development-enjeux_developpement/global_health-sante_mondiale/equite_vaccinale_covid-19_vaccine_equity.aspx?lang=eng,trish.chang@international.gc.ca,5/22/2024 8:46am,3048850.0,CanGIVE -- WHO
Accessing  the Full Range of SRHR Services,Canada,Ipas,CAD,20000000,2022,2027,Yes,Maputo City,,,,,,,"Luabo,Molumbo,Alto Molocue,Gilé",,"Mossuril,Ribáue,Nacala-Porto,Mogincual","Cuamba,Lago,Lichinga,Mandimba",,https://w05.international.gc.ca/projectbrowser-banqueprojets/project-projet/details/P007047001,Emelina.Murrure@international.gc.ca,11/26/2024 9:22am,14050000.0,Accessing  the Full Range of SRHR Services -- Ipas
EMPOWER - Mental Health,Canada,"Univeristy of Washington, Comité para Saúde de Moçambique",CAD,5000000,2023,2028,Yes,,,,,,,,,,,,,https://w05.international.gc.ca/projectbrowser-banqueprojets/project-projet/details/p007565001,diana.benzane@international.gc.ca,5/21/2024 8:47pm,3512500.0,"EMPOWER - Mental Health -- Univeristy of Washington, Comité para Saúde de Moçambique"
CanGIVE,Canada,UNICEF,CAD,18400000,2023,2025,Yes,Maputo City,Manhiça,,Zavala,"Chimoio,Vanduzi,Gondola,Manica,Mossurize,Sussundenga,Barue","Beira,Nhamatanda,Gorongosa,Buzi","Angonia,Tsangano","Milange,Molumbo,Gurué,Alto Molocue,Ile,Morrumbala,Mocuba,Quelimane,Namacurra,Gilé,Lugela","Montepuez,Chiúre,Namuno,Mueda,Balama,Pemba,Ancuabe,Nangade","Nampula- Cidade,Mogovolas,Lalaua,Moma,Monapo,Eráti,Memba,Angoche,Nacala-Porto,Murrupula,Nacaroa,Ribáue,Mecuburi,Meconta,Malema,Mossuril,Rapale,Mogincual,Muecate","Cuamba,Lichinga,Mandimba,N'gauma",,https://www.international.gc.ca/world-monde/issues_development-enjeux_developpement/global_health-sante_mondiale/equite_vaccinale_covid-19_vaccine_equity.aspx?lang=eng,diana.benzane@international.gc.ca,11/26/2024 9:24am,12926000.0,CanGIVE -- UNICEF
Every Girl Can,Canada,World Vision,CAD,13700000,2021,2026,Yes,,,,,,,,,,"Murrupula,Nacaroa",,,,diana.benzane@international.gc.ca,11/26/2024 9:24am,9624250.0,Every Girl Can -- World Vision
Stand Up for SRHR,Canada,Oxfam,CAD,9800000,2021,2027,No,,,,,,,,,,,,,https://w05.international.gc.ca/projectbrowser-banqueprojets/project-projet/details/p008437001,diana.benzane@international.gc.ca,5/27/2024 5:09pm,6884500.0,Stand Up for SRHR -- Oxfam
Sexual Health and Reproductive Education: SHARE,Canada,"Right to Play, WaterAid, FHI360
",CAD,11700000,2021,2026,No,,,,,,,,,,,,,https://w05.international.gc.ca/projectbrowser-banqueprojets/project-projet/details/p008431001,diana.benzane@international.gc.ca,5/27/2024 5:09pm,8219250.0,"Sexual Health and Reproductive Education: SHARE -- Right to Play, WaterAid, FHI360
"
ACT-A-HAC,Canada,UNICEF,USD,9134193,2021,2025,No,,,,,,,,,,,,,,trish.chang@international.gc.ca,5/27/2024 5:09pm,9134193.0,ACT-A-HAC -- UNICEF
Humanitarian SRH Assistance in Sub Saharan Africa,Canada,UNFPA,CAD,600000,2024,2026,Yes,,,,,,Toda a província,,,Toda a província,Toda a província,,,,masandoval@unfpa.org,11/26/2024 9:24am,421500.0,Humanitarian SRH Assistance in Sub Saharan Africa -- UNFPA
Health Systems Strengthening and UHC,European Commission,WHO,USD,91000,2019,2024,No,,,,,,,,,,,,,,erbf@who.int,5/27/2024 5:09pm,91000.0,Health Systems Strengthening and UHC -- WHO
Nutrition,European Commission,UNICEF,USD,3592093,2021,2025,Yes,,,,,,"Buzi,Caia,Nhamatanda,Dondo",,,,,,,,hmuhammad@unicef.org,5/22/2024 11:25am,3592093.0,Nutrition -- UNICEF
"My Decision, My Future (Fistula, GBV, Youth)",Finland,UNFPA,EUR,6200000,2024,2026,Yes,,,,,,,,,Toda a província,Toda a província,Toda a província,,,masandoval@unfpa.org,11/26/2024 9:24am,6490160.0,"My Decision, My Future (Fistula, GBV, Youth) -- UNFPA"
Tsogola Tsicana (Go Girl),Flanders,ADPP,EUR,1499162,2023,2027,Yes,,,,,,,"Tete,Changara,Moatize",,,,,,,mauricete.ruco@flanders.eu,5/22/2024 11:25am,1569322.7815999999,Tsogola Tsicana (Go Girl) -- ADPP
Health System Strengthening - ITM Support to SPS Tete,Flanders,ITM (Institute of Tropical Medicine Antwerp),EUR,750000,2022,2026,Yes,,,,,,,Toda a província,,,,,,,mauricete.ruco@flanders.eu,5/22/2024 11:25am,785100.0,Health System Strengthening - ITM Support to SPS Tete -- ITM (Institute of Tropical Medicine Antwerp)
"Happy women and happy Babies - Integrated and inclusive access to sexual and reproductive health and rights for women and girls, mothers and their babies",Flanders,ICRH-M,EUR,1500000,2023,2026,Yes,,,,,,,"Marávia,Zumbo",,,,,,,mauricete.ruco@flanders.eu,5/22/2024 11:25am,1570200.0,"Happy women and happy Babies - Integrated and inclusive access to sexual and reproductive health and rights for women and girls, mothers and their babies -- ICRH-M"
Health System Strengthening in Tete Province,Flanders,SPS Tete - Direct Support,EUR,249000,2022,2024,Yes,,,,,,,Toda a província,,,,,,,mauricete.ruco@flanders.eu,5/22/2024 11:25am,260653.19999999998,Health System Strengthening in Tete Province -- SPS Tete - Direct Support
Protecting the Future: Health & Resilience Initiative,Flanders,CHAI,EUR,1495027,2023,2027,Yes,,,,,,,"Tete,Changara,Moatize",,,,,,,mauricete.ruco@flanders.eu,5/22/2024 11:25am,1564994.2636,Protecting the Future: Health & Resilience Initiative -- CHAI
Healthy and resilient communities: improving access to quality patient-centred SRHRs with a focus on the most vulnerable groups in Tete Province,Flanders,CUAMM,EUR,1500000,2023,2026,Yes,,,,,,,"Angonia,Mutarara,Tete",,,,,,,mauricete.ruco@flanders.eu,5/22/2024 11:25am,1570200.0,Healthy and resilient communities: improving access to quality patient-centred SRHRs with a focus on the most vulnerable groups in Tete Province -- CUAMM
Midwifery Workforce Strengthening,Flanders,UNFPA,EUR,1327413,2022,2026,Yes,Maputo City,Toda a província,,,,,,,,,,"Sub partner:  ICS Infulene, MISAU",,masandoval@unfpa.org,5/22/2024 11:16am,1389535.9283999999,Midwifery Workforce Strengthening -- UNFPA
Construção e equipamento de 5 Hospitais Distritais em Diferentes Regiões ,Fundo Saudita para o Desenvolvimento,"MISAU
",USD,50000000,2024,2028,Yes,,,Limpopo,,Vanduzi,,,Molumbo,,Ribáue,Chimbonila,https://www.sfd.gov.sa/en/n633,https://www.diarioeconomico.co.mz/2024/02/16/economia/desenvolvimento/mocambique-aprova-acordos-de-150-m-financiados-pelo-fundo-saudita/,dzaqueu@hotmail.com,11/26/2024 9:23am,50000000.0,"Construção e equipamento de 5 Hospitais Distritais em Diferentes Regiões  -- MISAU
"
HPV,Gavi,WHO,USD,133000,2023,2025,No,,,,,,,,,,,,,,erbf@who.int,5/20/2024 9:26pm,133000.0,HPV -- WHO
